Time, Voltage, PWM
179.993000, 8.056641, 107
181.066000, 7.250976, 102
181.878000, 8.056641, 99
182.620000, 8.862305, 97
183.161000, 9.667969, 97
183.693000, 10.473632, 97
184.312000, 10.473632, 97
184.777000, 10.473632, 97
185.245000, 10.473632, 97
186.209000, 8.862305, 95
187.061000, 8.056641, 92
187.904000, 8.056641, 89
188.624000, 7.250976, 84
189.713000, 7.250976, 79
190.770000, 7.250976, 75
191.443000, 3.222656, 75
192.453000, 5.639648, 75
193.311000, 6.445312, 75
194.393000, 6.445312, 75
195.542000, 6.445312, 75
196.274000, 6.445312, 75
197.359000, 6.445312, 75
198.186000, 6.445312, 75
198.889000, 5.639648, 75
199.737000, 6.445312, 75
200.707000, 6.445312, 75
201.822000, 6.445312, 75
202.601000, 6.445312, 75
203.398000, 5.639648, 75
204.175000, 5.639648, 75
205.174000, 4.833984, 75
205.969000, 4.833984, 75
206.698000, 4.028320, 75
207.550000, 4.028320, 75
208.401000, 4.028320, 75
209.255000, 4.028320, 75
209.981000, 3.222656, 75
210.795000, 3.222656, 75
211.562000, 3.222656, 75
212.335000, 4.028320, 75
213.019000, 4.028320, 75
213.754000, 4.028320, 75
214.538000, 4.028320, 75
215.358000, 4.028320, 75
216.146000, 4.028320, 75
216.900000, 4.028320, 75
217.674000, 4.028320, 75
218.577000, 4.028320, 75
219.425000, 4.028320, 75
220.318000, 4.028320, 75
221.232000, 4.028320, 75
222.059000, 4.028320, 75
222.941000, 3.222656, 75
223.776000, 3.222656, 75
224.618000, 3.222656, 75
225.351000, 3.222656, 75
226.307000, 3.222656, 75
227.118000, 3.222656, 75
227.898000, 2.416992, 75
228.752000, 2.416992, 75
229.573000, 2.416992, 75
230.418000, 2.416992, 75
231.492000, 2.416992, 75
232.465000, 2.416992, 75
233.391000, 2.416992, 75
234.215000, 2.416992, 75
235.056000, 2.416992, 75
235.997000, 2.416992, 75
236.853000, 2.416992, 75
237.669000, 1.611328, 75
238.393000, 1.611328, 75
239.144000, 1.611328, 75
239.986000, 1.611328, 75
240.952000, 1.611328, 75
241.787000, 1.611328, 75
242.554000, 1.611328, 75
243.272000, 1.611328, 75
244.526000, 0.805664, 75
245.479000, 0.805664, 75
246.205000, 0.805664, 75
247.080000, 0.805664, 75
247.897000, 0.805664, 75
248.811000, 0.805664, 75
249.546000, 0.805664, 75
250.262000, 0.805664, 75
251.264000, 0.805664, 75
252.058000, 0.805664, 75
253.094000, 0.805664, 75
253.970000, 0.805664, 75
255.021000, 0.805664, 75
255.985000, 0.805664, 75
256.699000, 0.805664, 75
257.589000, 0.805664, 75
258.429000, 0.000000, 75
259.314000, 0.000000, 75
260.227000, 0.000000, 75
260.876000, 0.000000, 75
261.772000, 0.000000, 75
262.531000, 0.000000, 75
263.191000, 0.000000, 75
263.893000, 0.000000, 75
264.639000, 0.000000, 75
265.246000, 0.000000, 75
265.981000, 0.000000, 75
266.668000, 0.000000, 75
267.324000, 0.000000, 75
267.960000, 0.000000, 75
268.616000, 0.000000, 75
269.309000, 0.000000, 75
270.012000, 0.000000, 75
270.603000, 0.000000, 75
271.480000, 0.000000, 75
272.238000, 0.000000, 75
272.821000, 0.000000, 75
273.567000, 0.000000, 75
274.316000, 0.000000, 75
274.925000, 0.000000, 75
275.590000, 0.000000, 75
276.256000, 0.000000, 75
276.889000, 0.000000, 75
277.556000, 0.000000, 75
278.178000, 0.000000, 75
278.756000, 0.000000, 75
279.397000, 0.000000, 75
280.089000, 0.000000, 75
280.670000, 0.000000, 75
281.266000, 0.000000, 75
281.867000, 0.000000, 75
282.409000, 0.000000, 75
283.017000, 0.000000, 75
283.588000, 0.000000, 75
284.307000, 0.000000, 75
284.911000, 0.000000, 75
285.506000, 0.000000, 75
286.130000, 0.000000, 75
286.720000, 0.000000, 75
287.310000, 0.000000, 75
287.906000, 0.000000, 75
288.523000, 0.000000, 75
289.083000, 0.000000, 75
289.758000, 0.000000, 75
290.387000, 0.000000, 75
290.964000, 0.000000, 75
291.766000, 0.000000, 75
292.391000, 0.000000, 75
292.960000, 0.000000, 75
293.666000, 0.000000, 75
294.650000, 0.000000, 75
295.209000, 0.000000, 75
296.040000, 0.000000, 75
296.716000, 0.000000, 75
297.294000, 0.000000, 75
298.044000, 0.000000, 75
298.691000, 0.000000, 75
299.301000, 0.000000, 75
300.127000, 0.000000, 75
300.841000, 0.000000, 75
301.509000, 0.000000, 75
302.306000, 0.000000, 75
303.021000, 0.000000, 75
303.713000, 0.000000, 75
304.547000, 0.000000, 75
305.231000, 0.000000, 75
305.923000, 0.000000, 75
306.750000, 0.000000, 75
307.448000, 0.000000, 75
308.148000, 0.000000, 75
308.990000, 0.000000, 75
309.680000, 0.000000, 75
310.270000, 0.000000, 75
311.086000, 0.000000, 75
311.780000, 0.000000, 75
